Player,PlayerValue
Philadelphia,251.29999999999998
New Orleans,228.8
San Francisco,236.9
N.Y. Jets,208.5
New England,240.4
Pittsburgh,226.0
Baltimore,246.2
Kansas City,236.5
Houston,226.5
Miami,228.1
Jacksonville,238.39999999999998
Cincinnati,231.3
Buffalo,225.3
Green Bay,219.4
Dallas,263.8
Tennessee,209.0
Carolina,203.6
Washington,244.70000000000002
Cleveland,236.10000000000002
Seattle,234.9
Indianapolis,237.3
Detroit,233.7
L.A. Chargers,230.1
N.Y. Giants,233.1
Tampa Bay,233.2
Denver,217.0
L.A. Rams,215.5
Minnesota,218.9
Atlanta,206.7
Chicago,209.1
Arizona,201.5
Las Vegas,194.3
